ppm,intensity
64.115147,0.00000001
64.106113,0.00000001
64.097079,0.00000001
64.088045,0.00000001
64.079011,0.00000001
64.069977,0.00000001
64.060943,0.00000001
64.051910,0.00000001
64.042876,0.00000001
64.033842,0.00000001
64.024808,0.00000001
64.015774,0.00000001
64.006740,0.00000001
63.997706,0.00000001
63.988672,0.00000001
63.979638,0.00000001
63.970604,0.00000001
63.961570,0.00000001
63.952536,0.00000001
63.943502,0.00000001
63.934468,0.00000001
63.925434,0.00000001
63.916400,0.00000001
63.907366,0.00000001
63.898332,0.00000001
63.889298,0.00000001
63.880264,0.00000001
63.871230,0.00000001
63.862196,0.00000001
63.853162,0.00000001
63.844129,0.00000001
63.835095,0.00000001
63.826061,0.00000001
63.817027,0.00000001
63.807993,0.00000001
63.798959,0.00000001
63.789925,0.00000001
63.780891,0.00000001
63.771857,0.00000001
63.762823,0.00000001
63.753789,0.00000001
63.744755,0.00000001
63.735721,0.00000001
63.726687,0.00000001
63.717653,0.00000001
63.708619,0.00000001
63.699585,0.00000001
63.690551,0.00000001
63.681517,0.00000001
63.672483,0.00000001
63.663449,0.00000001
63.654415,0.00000001
63.645382,0.00000001
63.636348,0.00000001
63.627314,0.00000001
63.618280,0.00000001
63.609246,0.00000001
63.600212,0.00000001
63.591178,0.00000001
63.582144,0.00000001
63.573110,0.00000001
63.564076,0.00000001
63.555042,0.00000001
63.546008,0.00000001
63.536974,0.00000001
63.527940,0.00000001
63.518906,0.00000001
63.509872,0.00000001
63.500838,0.00000001
63.491804,0.00000001
63.482770,0.00000001
63.473736,0.00000001
63.464702,0.00000001
63.455668,0.00000001
63.446634,0.00000001
63.437601,0.00000001
63.428567,0.00000001
63.419533,0.00000001
63.410499,0.00000001
63.401465,0.00000001
63.392431,0.00000001
63.383397,0.00000001
63.374363,0.00000001
63.365329,0.00000001
63.356295,0.00000001
63.347261,0.00000001
63.338227,0.00000001
63.329193,0.00000001
63.320159,0.00000001
63.311125,0.00000001
63.302091,0.00000001
63.293057,0.00000001
63.284023,0.00000001
63.274989,0.00000001
63.265955,0.00000001
63.256921,0.00000001
63.247887,0.00000001
63.238853,0.00000001
63.229820,0.00000001
63.220786,0.00000001
63.211752,0.00000001
63.202718,0.00000001
63.193684,0.00000001
63.184650,0.00000001
63.175616,0.00000001
63.166582,0.00000001
63.157548,0.00000001
63.148514,0.00000001
63.139480,0.00000001
63.130446,0.00000001
63.121412,0.00000001
63.112378,0.00000001
63.103344,0.00000001
63.094310,0.00000001
63.085276,0.00000001
63.076242,0.00000001
63.067208,0.00000001
63.058174,0.00000001
63.049140,0.00000001
63.040106,0.00000001
63.031073,0.00000001
63.022039,0.00000001
63.013005,0.00000001
63.003971,0.00000001
62.994937,0.00000001
62.985903,0.00000001
62.976869,0.00000001
62.967835,0.00000001
62.958801,0.00000001
62.949767,0.00000001
62.940733,0.00000001
62.931699,0.00000001
62.922665,0.00000001
62.913631,0.00000001
62.904597,0.00000001
62.895563,0.00000001
62.886529,0.00000001
62.877495,0.00000001
62.868461,0.00000001
62.859427,0.00000001
62.850393,0.00000001
62.841359,0.00000001
62.832325,0.00000001
62.823292,0.00000001
62.814258,0.00000001
62.805224,0.00000001
62.796190,0.00000001
62.787156,0.00000001
62.778122,0.00000001
62.769088,0.00000001
62.760054,0.00000001
62.751020,0.00000001
62.741986,0.00000001
62.732952,0.00000001
62.723918,0.00000001
62.714884,0.00000001
62.705850,0.00000001
62.696816,0.00000001
62.687782,0.00000001
62.678748,0.00000001
62.669714,0.00000001
62.660680,0.00000001
62.651646,0.00000001
62.642612,0.00000001
62.633578,0.00000001
62.624545,0.00000001
62.615511,0.00000001
62.606477,0.00000001
