ppm,intensity
238.996699,0.00000000
238.957740,0.00000000
238.918781,0.00000000
238.879822,0.00000000
238.840864,0.00000000
238.801905,0.00000000
238.762946,0.00000000
238.723987,0.00000000
238.685028,0.00000000
238.646069,0.00000000
238.607110,0.00000000
238.568151,0.00000000
238.529192,0.00000000
238.490233,0.00000000
238.451275,0.00000000
238.412316,0.00000000
238.373357,0.00000000
238.334398,0.00000000
238.295439,0.00000000
238.256480,0.00000000
238.217521,0.00000000
238.178562,0.00000000
238.139603,0.00000000
238.100644,0.00000000
238.061686,0.00000000
238.022727,0.00000000
237.983768,0.00000000
237.944809,0.00000000
237.905850,0.00000000
237.866891,0.00000000
237.827932,0.00000000
237.788973,0.00000000
237.750014,0.00000000
237.711055,0.00000000
237.672097,0.00000000
237.633138,0.00000000
237.594179,0.00000000
237.555220,0.00000000
237.516261,0.00000000
237.477302,0.00000000
237.438343,0.00000000
237.399384,0.00000000
237.360425,0.00000000
237.321466,0.00000000
237.282507,0.00000000
237.243549,0.00000000
237.204590,0.00000000
237.165631,0.00000000
237.126672,0.00000000
237.087713,0.00000000
237.048754,0.00000000
237.009795,0.00000000
236.970836,0.00000000
236.931877,0.00000000
236.892918,0.00000000
236.853960,0.00000000
236.815001,0.00000000
236.776042,0.00000000
236.737083,0.00000000
236.698124,0.00000000
236.659165,0.00000000
236.620206,0.00000000
236.581247,0.00000000
236.542288,0.00000000
236.503329,0.00000000
236.464371,0.00000000
236.425412,0.00000000
236.386453,0.00000000
236.347494,0.00000000
236.308535,0.00000000
236.269576,0.00000000
236.230617,0.00000000
236.191658,0.00000000
236.152699,0.00000000
236.113740,0.00000000
236.074782,0.00000000
236.035823,0.00000000
235.996864,0.00000000
235.957905,0.00000000
235.918946,0.00000000
235.879987,0.00000000
235.841028,0.00000000
235.802069,0.00000000
235.763110,0.00000000
235.724151,0.00000000
235.685193,0.00000000
235.646234,0.00000000
235.607275,0.00000000
235.568316,0.00000000
235.529357,0.00000000
235.490398,0.00000000
235.451439,0.00000000
235.412480,0.00000000
235.373521,0.00000000
235.334562,0.00000000
235.295604,0.00000000
235.256645,0.00000000
235.217686,0.00000000
235.178727,0.00000000
235.139768,0.00000000
235.100809,0.00000000
235.061850,0.00000000
235.022891,0.00000000
234.983932,0.00000000
234.944973,0.00000000
234.906015,0.00000000
234.867056,0.00000000
234.828097,0.00000000
234.789138,0.00000000
234.750179,0.00000000
234.711220,0.00000000
234.672261,0.00000000
234.633302,0.00000000
234.594343,0.00000000
234.555384,0.00000000
234.516426,0.00000000
234.477467,0.00000000
234.438508,0.00000000
234.399549,0.00000000
234.360590,0.00000000
234.321631,0.00000000
234.282672,0.00000000
234.243713,0.00000000
234.204754,0.00000000
234.165795,0.00000000
234.126837,0.00000000
234.087878,0.00000000
234.048919,0.00000000
234.009960,0.00000000
233.971001,0.00000000
233.932042,0.00000000
233.893083,0.00000000
233.854124,0.00000000
233.815165,0.00000000
233.776206,0.00000000
233.737248,0.00000000
233.698289,0.00000000
233.659330,0.00000000
233.620371,0.00000001
233.581412,0.00000001
233.542453,0.00000001
233.503494,0.00000001
233.464535,0.00000001
233.425576,0.00000001
233.386617,0.00000001
233.347659,0.00000001
233.308700,0.00000001
233.269741,0.00000001
233.230782,0.00000001
233.191823,0.00000001
233.152864,0.00000001
233.113905,0.00000001
233.074946,0.00000001
233.035987,0.00000001
232.997028,0.00000001
232.958069,0.00000001
232.919111,0.00000001
232.880152,0.00000001
232.841193,0.00000001
232.802234,0.00000001
232.763275,0.00000001
232.724316,0.00000001
232.685357,0.00000001
232.646398,0.00000001
232.607439,0.00000001
232.568480,0.00000001
232.529522,0.00000001
232.490563,0.00000001
232.451604,0.00000001
232.412645,0.00000001
232.373686,0.00000001
232.334727,0.00000001
232.295768,0.00000001
232.256809,0.00000001
232.217850,0.00000001
232.178891,0.00000001
