ppm,intensity
83.182953,0.00000003
83.167950,0.00000003
83.152948,0.00000003
83.137945,0.00000003
83.122943,0.00000003
83.107940,0.00000003
83.092938,0.00000003
83.077935,0.00000003
83.062933,0.00000003
83.047930,0.00000003
83.032928,0.00000003
83.017925,0.00000003
83.002923,0.00000003
82.987920,0.00000003
82.972918,0.00000003
82.957915,0.00000003
82.942913,0.00000003
82.927910,0.00000003
82.912908,0.00000003
82.897905,0.00000003
82.882903,0.00000003
82.867900,0.00000003
82.852898,0.00000003
82.837895,0.00000003
82.822893,0.00000003
82.807890,0.00000003
82.792888,0.00000003
82.777885,0.00000003
82.762883,0.00000003
82.747880,0.00000003
82.732878,0.00000003
82.717875,0.00000003
82.702873,0.00000003
82.687870,0.00000003
82.672868,0.00000003
82.657865,0.00000003
82.642863,0.00000003
82.627860,0.00000003
82.612858,0.00000003
82.597855,0.00000003
82.582853,0.00000003
82.567850,0.00000003
82.552848,0.00000003
82.537845,0.00000003
82.522843,0.00000003
82.507840,0.00000003
82.492838,0.00000003
82.477835,0.00000003
82.462833,0.00000003
82.447830,0.00000003
82.432828,0.00000003
82.417825,0.00000003
82.402823,0.00000003
82.387820,0.00000003
82.372818,0.00000003
82.357815,0.00000003
82.342813,0.00000003
82.327810,0.00000003
82.312808,0.00000003
82.297805,0.00000003
82.282803,0.00000003
82.267800,0.00000003
82.252798,0.00000003
82.237795,0.00000003
82.222793,0.00000003
82.207790,0.00000003
82.192788,0.00000003
82.177785,0.00000003
82.162783,0.00000003
82.147780,0.00000003
82.132778,0.00000003
82.117775,0.00000003
82.102773,0.00000003
82.087770,0.00000003
82.072768,0.00000003
82.057765,0.00000003
82.042763,0.00000003
82.027760,0.00000003
82.012758,0.00000003
81.997755,0.00000003
81.982753,0.00000003
81.967750,0.00000003
81.952748,0.00000003
81.937745,0.00000003
81.922743,0.00000003
81.907740,0.00000003
81.892738,0.00000003
81.877735,0.00000003
81.862733,0.00000003
81.847730,0.00000003
81.832728,0.00000003
81.817725,0.00000003
81.802723,0.00000003
81.787720,0.00000003
81.772718,0.00000003
81.757715,0.00000003
81.742713,0.00000003
81.727710,0.00000003
81.712708,0.00000003
81.697705,0.00000003
81.682703,0.00000003
81.667700,0.00000003
81.652698,0.00000003
81.637695,0.00000003
81.622693,0.00000003
81.607690,0.00000003
81.592688,0.00000003
81.577685,0.00000003
81.562683,0.00000003
81.547680,0.00000003
81.532678,0.00000003
81.517675,0.00000003
81.502673,0.00000003
81.487670,0.00000003
81.472668,0.00000003
81.457665,0.00000003
81.442663,0.00000003
81.427660,0.00000003
81.412658,0.00000003
81.397655,0.00000003
81.382653,0.00000003
81.367650,0.00000003
81.352648,0.00000003
81.337645,0.00000003
81.322643,0.00000003
81.307640,0.00000003
81.292638,0.00000003
81.277635,0.00000003
81.262633,0.00000003
81.247630,0.00000003
81.232628,0.00000003
81.217625,0.00000003
81.202623,0.00000003
81.187620,0.00000003
81.172618,0.00000003
81.157615,0.00000003
81.142613,0.00000003
81.127610,0.00000003
81.112608,0.00000003
81.097605,0.00000003
81.082603,0.00000003
81.067600,0.00000003
81.052598,0.00000003
81.037595,0.00000003
81.022593,0.00000003
81.007590,0.00000003
80.992588,0.00000003
80.977585,0.00000003
80.962583,0.00000003
80.947580,0.00000003
80.932578,0.00000003
80.917575,0.00000003
80.902573,0.00000003
80.887570,0.00000003
80.872568,0.00000003
80.857565,0.00000003
80.842563,0.00000003
80.827560,0.00000003
80.812558,0.00000003
80.797555,0.00000003
80.782553,0.00000003
80.767550,0.00000003
80.752548,0.00000003
80.737545,0.00000003
80.722543,0.00000003
80.707540,0.00000003
80.692538,0.00000003
80.677535,0.00000003
80.662533,0.00000003
80.647530,0.00000003
80.632528,0.00000003
80.617525,0.00000003
80.602523,0.00000003
80.587520,0.00000003
80.572518,0.00000003
80.557515,0.00000003
80.542513,0.00000003
80.527510,0.00000003
80.512508,0.00000003
80.497505,0.00000003
80.482503,0.00000003
80.467500,0.00000003
80.452498,0.00000003
80.437495,0.00000003
80.422493,0.00000003
80.407490,0.00000003
80.392488,0.00000003
80.377485,0.00000003
80.362483,0.00000003
80.347480,0.00000003
80.332478,0.00000003
80.317475,0.00000003
80.302473,0.00000003
80.287470,0.00000003
80.272468,0.00000003
80.257465,0.00000003
80.242463,0.00000003
80.227460,0.00000003
80.212458,0.00000003
80.197455,0.00000003
80.182453,0.00000003
80.167450,0.00000003
80.152448,0.00000003
80.137445,0.00000003
80.122443,0.00000003
80.107440,0.00000003
80.092438,0.00000003
80.077435,0.00000003
80.062433,0.00000003
80.047430,0.00000003
80.032428,0.00000003
80.017425,0.00000003
80.002423,0.00000003
79.987420,0.00000003
79.972418,0.00000003
79.957415,0.00000003
79.942413,0.00000003
79.927410,0.00000003
79.912408,0.00000003
79.897405,0.00000003
79.882403,0.00000003
79.867400,0.00000003
79.852398,0.00000003
79.837395,0.00000003
79.822393,0.00000003
79.807390,0.00000003
79.792388,0.00000003
79.777385,0.00000003
79.762383,0.00000003
79.747380,0.00000003
79.732378,0.00000003
79.717375,0.00000003
79.702373,0.00000003
79.687370,0.00000003
79.672368,0.00000003
79.657365,0.00000003
79.642363,0.00000003
79.627360,0.00000003
79.612358,0.00000003
79.597355,0.00000003
79.582353,0.00000003
79.567350,0.00000003
79.552348,0.00000003
79.537345,0.00000003
79.522343,0.00000003
79.507340,0.00000003
79.492338,0.00000003
79.477335,0.00000003
79.462333,0.00000003
79.447330,0.00000003
79.432328,0.00000003
79.417325,0.00000003
79.402323,0.00000003
79.387320,0.00000003
79.372318,0.00000003
79.357315,0.00000003
79.342313,0.00000003
79.327310,0.00000003
79.312308,0.00000003
79.297305,0.00000003
79.282303,0.00000003
79.267300,0.00000003
79.252298,0.00000003
79.237295,0.00000003
79.222293,0.00000003
79.207290,0.00000003
79.192288,0.00000003
79.177285,0.00000003
79.162283,0.00000003
79.147280,0.00000003
79.132278,0.00000003
79.117275,0.00000003
79.102273,0.00000003
79.087270,0.00000003
79.072268,0.00000003
79.057265,0.00000003
79.042263,0.00000003
79.027260,0.00000003
79.012258,0.00000003
78.997255,0.00000003
78.982253,0.00000003
78.967250,0.00000003
78.952248,0.00000003
78.937245,0.00000003
78.922243,0.00000003
78.907240,0.00000003
78.892238,0.00000003
78.877235,0.00000003
78.862233,0.00000003
78.847230,0.00000003
78.832228,0.00000003
78.817225,0.00000004
78.802223,0.00000004
78.787220,0.00000004
78.772218,0.00000004
78.757215,0.00000004
78.742213,0.00000004
78.727210,0.00000004
78.712208,0.00000004
78.697205,0.00000004
78.682203,0.00000004
78.667200,0.00000004
78.652198,0.00000004
78.637195,0.00000004
78.622193,0.00000004
78.607190,0.00000004
78.592188,0.00000004
78.577185,0.00000004
78.562183,0.00000004
78.547180,0.00000004
78.532178,0.00000004
78.517175,0.00000004
78.502173,0.00000004
78.487170,0.00000004
78.472168,0.00000004
78.457165,0.00000004
78.442163,0.00000004
78.427160,0.00000004
78.412158,0.00000004
78.397155,0.00000004
78.382153,0.00000004
78.367150,0.00000004
78.352148,0.00000004
78.337145,0.00000004
78.322143,0.00000004
78.307140,0.00000004
78.292138,0.00000004
78.277135,0.00000004
78.262133,0.00000004
78.247130,0.00000004
78.232128,0.00000004
78.217125,0.00000004
78.202123,0.00000004
78.187120,0.00000004
78.172118,0.00000004
78.157115,0.00000004
78.142113,0.00000004
78.127110,0.00000004
78.112108,0.00000004
78.097105,0.00000004
